Date,Team,Team Score,Opponent,Opponent Score,Team Result
11/13/13,Dayton,70,St Francis PA,56,Win
11/13/13,St Francis PA,56,Dayton,70,Loss
11/13/13,Holy Cross,122,Sacred Heart,118,Win
11/13/13,Sacred Heart,118,Holy Cross,122,Loss
11/13/13,Mercer,95,Reinhardt,53,Win
11/13/13,Reinhardt,53,Mercer,95,Loss
11/13/13,E Kentucky,114,Warren Wilson,45,Win
11/13/13,Warren Wilson,45,E Kentucky,114,Loss
11/13/13,New Hampshire,84,Duquesne,81,Win
11/13/13,Duquesne,81,New Hampshire,84,Loss
11/13/13,Purdue,109,Central Conn,73,Win
11/13/13,Central Conn,73,Purdue,109,Loss
11/13/13,Norfolk St,115,Newberry,95,Win
11/13/13,Newberry,95,Norfolk St,115,Loss
11/13/13,Navy,98,Goucher,47,Win
11/13/13,Goucher,47,Navy,98,Loss
11/13/13,Villanova,90,Mt St Mary's,59,Win
11/13/13,Mt St Mary's,59,Villanova,90,Loss
11/13/13,Binghamton,89,Cornell,79,Win
11/13/13,Cornell,79,Binghamton,89,Loss
11/13/13,Bryant,87,Dartmouth,77,Win
11/13/13,Dartmouth,77,Bryant,87,Loss
11/13/13,Niagara,92,Buffalo,81,Win
11/13/13,Buffalo,81,Niagara,92,Loss
11/13/13,TX Pan American,94,Huston-Tillot,62,Win
11/13/13,Huston-Tillot,62,TX Pan American,94,Loss
11/13/13,Clemson,58,Delaware St,37,Win
11/13/13,Delaware St,37,Clemson,58,Loss
11/14/13,Sam Houston St,108,Prairie View,103,Win
11/14/13,Prairie View,103,Sam Houston St,108,Loss
11/14/13,Alabama A&M,79,AL Huntsville,73,Win
11/14/13,AL Huntsville,73,Alabama A&M,79,Loss
11/14/13,Wichita St,79,William & Mary,62,Win
11/14/13,William & Mary,62,Wichita St,79,Loss
11/14/13,SE Louisiana,108,Champion Bap,54,Win
11/14/13,Champion Bap,54,SE Louisiana,108,Loss
11/14/13,UAB,81,Troy,69,Win
11/14/13,Troy,69,UAB,81,Loss
11/14/13,E Michigan,69,Robert Morris,64,Win
11/14/13,Robert Morris,64,E Michigan,69,Loss
11/14/13,Mississippi St,78,Kennesaw,55,Win
11/14/13,Kennesaw,55,Mississippi St,78,Loss
11/14/13,Houston,80,UT San Antonio,62,Win
11/14/13,UT San Antonio,62,Houston,80,Loss
11/14/13,St Mary's CA,78,N Dakota St,65,Win
11/14/13,N Dakota St,65,St Mary's CA,78,Loss
11/14/13,UC Irvine,86,Washington,72,Win
11/14/13,Washington,72,UC Irvine,86,Loss
11/14/13,Savannah St,87,Florida National,60,Win
11/14/13,Florida National,60,Savannah St,87,Loss
11/14/13,Florida Intl,85,Florida Col,39,Win
11/14/13,Florida Col,39,Florida Intl,85,Loss
11/14/13,Loy Marymount,74,Long Beach St,73,Win
