Date,Team,Opponent,Team Score,Opponent Score,Team Result
2/2/13,Virginia Tech,North Carolina,60,72,Loss
2/2/13,North Dakota,Idaho St,69,52,Win
2/2/13,Idaho St,North Dakota,52,69,Loss
2/2/13,North Florida,Stetson,64,59,Win
2/2/13,Stetson,North Florida,59,64,Loss
2/2/13,Northeastern,Drexel,59,52,Win
2/2/13,Drexel,Northeastern,52,59,Loss
2/2/13,Northern Iowa,Wichita St,57,52,Win
2/2/13,Wichita St,Northern Iowa,52,57,Loss
2/2/13,Northwestern,Purdue,75,60,Win
2/2/13,Purdue,Northwestern,60,75,Loss
2/2/13,Kansas St,Oklahoma,52,50,Win
2/2/13,Oklahoma,Kansas St,50,52,Loss
2/2/13,Oral Roberts,SE Louisiana,65,59,Win
2/2/13,SE Louisiana,Oral Roberts,59,65,Loss
2/2/13,Pacific,UC Davis,77,64,Win
2/2/13,UC Davis,Pacific,64,77,Loss
2/2/13,Cornell,Penn,71,69,Win
2/2/13,Penn,Cornell,69,71,Loss
2/2/13,San Francisco,Pepperdine,86,78,Win
2/2/13,Pepperdine,San Francisco,78,86,Loss
2/2/13,Pittsburgh,Syracuse,65,55,Win
2/2/13,Syracuse,Pittsburgh,55,65,Loss
2/2/13,Montana St,Portland St,70,64,Win
2/2/13,Portland St,Montana St,64,70,Loss
2/2/13,Princeton,Columbia,72,66,Win
2/2/13,Columbia,Princeton,66,72,Loss
2/2/13,East Carolina,Rice,79,63,Win
2/2/13,Rice,East Carolina,63,79,Loss
2/2/13,Richmond,Xavier,73,71,Win
2/2/13,Xavier,Richmond,71,73,Loss
2/2/13,S Dakota St,Missouri KC,88,57,Win
2/2/13,Missouri KC,S Dakota St,57,88,Loss
2/2/13,Gonzaga,San Diego,65,63,Win
2/2/13,San Diego,Gonzaga,63,65,Loss
2/2/13,N Kentucky,SC Upstate,70,65,Win
2/2/13,SC Upstate,N Kentucky,65,70,Loss
2/2/13,E Kentucky,SE Missouri St,81,72,Win
2/2/13,SE Missouri St,E Kentucky,72,81,Loss
2/2/13,Utah St,Seattle,68,46,Win
2/2/13,Seattle,Utah St,46,68,Loss
